movie_id,movie_name,created_at,top5pos,top5neg
76.0,Before Sunrise,2000.0,"Because the atmosphere is so realistic, vivid, and believable we identify
with the characters and almost become them.; Even though
reality finally steps in, our memories of these emotions will stay with
us.; But leave your pre-conceptions at the door, and you will be rewarded
with a nearly perfect romance, a sweet, funny and poignant character
study which, if there is any justice, will make Julie Delpy a star.; I keep returning to certain terms when thinking about and
describing BEFORE SUNRISE--perfect, genuine, real.; He uses the train as a
perfect metaphor for time.","Honestly, whoever wrote this silly script, why bother
going to such enormous lengths to build intellectual companionship
(which will deepen with time), and then confuse the issues with a single
night of gratuitous sex in the park?; It's not as if the viewers
paid to watch a movie called 'Before Sunrise' just so they could see two
kids jerk off.; It was too 50s beatnik looking.; They see sights, visit a record store, an
amusement park, a grungy bar with awful music, a string of cafes.; BEFORE SUNRISE is likely to be a very polarizing kind of film,
because it consists almost entirely of conversation between Jesse
and Celine."
77.0,Memento,1997.0,"It's the smartest noir thriller since ""The Last
Seduction,"" the most brilliantly structured film since ""Timecode,"" and the
most mesmerizing mystery story I can remember seeing in a long, long time.; Carrie-Anne Moss gives her first truly great performance here as the 
mysterious, duplicitous Natalie, exuding both toughness and sincerity with 
equal aplomb.; Unfathomably, the film gets
progressively better as it goes along, and I found myself inching closer
and closer to the edge of my seat throughout the movie.; It is rare 
for a noir tale like this to make us feel the internal anxieties and fears of 
its main character.; ""Memento"" is quite simply the best
film of the year.","Why does Nolan bring in the
character of Sammy (Stephen Tobolowsky), a man who has
apparently suffered a similar ailment as Leonard and whom
Leonard is investigating to determine whether Sammy's
affliction is an insurance-covered physical condition or an
insurance exempted psychological one?; Jumbled imagery fits together like pieces of an intricate jigsaw puzzle, and the audience is as confused as Leonard.; Leonard Shelby (Guy Pearce, ""L.A.; Spit in his beer, or much worse, and a minute later 
he will remember nothing about the incident.; After a few minutes, if he fails 
to write down important information or clues (usually on a handy Polaroid he 
shoots of any person he meets), he will forget as if the incident had never 
occured."
78.0,Blade Runner,1999.0,"It's great -- just perfect.; For one
thing, this movie has a great theme, the greatest human theme: life,
death, and their meaning.; Score/Sound:  Vangelis, synthesized, but also some sax, I liked it and
it fit the movie.; M. Emmet Walsh (MISSING IN
ACTION, RED SCORPION), as per his usual, does a great job with his
role.; The film is very well written
and held my interest throughout.","On the surface, the plot of the movie looks like material
for cheap B-movie schlockfest.; Harrison Ford's annoying voice-overs have been removed and some of the
scenes have been rearranged.; The result is that the genre (especially in the 90s) has
become a synonimum for dumb and predictable ""popcorn films"".; And then there is the movie's look, which has been copied and slavishly
imitated in comics, in other movies, books, advertising, and God knows what
else.; I think Joanna Cassidy (DON'T TELL MOM THE BABYSITTER'S DEAD,
MAY WINE) was also a rather weak actress in this film."
79.0,Hero,1998.0,"Her sister Susie Cusack (part of the Evanston, 
Illinois Cusack clan) makes a lovely debut as Bernie's 
court-appointed, rookie lawyer.; He lives in a special twilight world of mental, 
psychological and physical debris.; Geena Davis, as Gale Galey, begins as the ultimate in electronic
sob sisters (Chevy Chase, her boss, says, ""Everyone knows you're a
marshmallow, now act like a professional marshmallow), but ends as a
real person whose job is TV news.; The story, written by David Webb Peoples, balances the comedy of a
very sharp media satire with the heart-warming story about the nature of
heroism.; In addition, Hoffman is heartbreakingly perfect
when Bernie begins to acknowledge his own deeply buried compassion and
love.","Then, 
for better or worse, we switch to a super-Capra, 
lump-in-the-throat Davis-Hoffman dialogue.; It 
is as though the filmmakers wanted to get every penny of their 
investment in Hoffman's star presence.; Here, John merely turns 
out to be a Vietnam hero.; Those overdrawn and overlong passages are also over-underlined 
by the many closeups that director Frears is so fond of, 
perhaps as a leftover of his old (and impressive) TV days.; All the 
scenes overdo his character as slobbish, egotistic and even 
feeble-minded, except for some quick-thinking, fast-moving low 
cunning involving illegal acts."
85.0,Raiders of the Lost Ark,1998.0,"Harrison Ford is perfect as the every-man with the
brains of a scientist and the brawn of an outdoors adventurer, and Spielberg
manages to achieve the ideal balance of action, fun, adventure and humor.; The rousing, memorable musical score by the incredible John
Williams lends support and enhances our enjoyment.; CRITIQUE:
Astounding movie packed with non-stop action, stunts galore, an interesting
story line, great one-liners, a solid cast, a catchy musical score, and all
the fun and adventure that you could squeeze into a two-hour thrill ride.; Ford is in
great shape for his age but it won't last forever.; It is a thoroughly entertaining film, with some of the greatest
gee-whiz technical effects, stunts, and action sequences ever filmed.","The plot of RAIDERS OF THE LOST ARK is utter balderdash.; It looks like a cardboard plane has just been destroyed
with cherry bombs.; Nor of sequels to come, I might add: witness Kate Capshaw's
unbearable hysterics in the follow-up TEMPLE OF DOOM.; Spielberg wasn't willing to let it simply
unspool before our eyes; instead he had to make it clear that he was
working hard behind the camera ( and as far as I know it's the only bad
movie he's ever made. ); In plain fact, I wouldn't
even see an Indiana Jones movie if Ford were not Indy."
88.0,Dirty Dancing,1997.0,"And you'd miss a real gem.; DIRTY DANCING is a good film too.; I went to see DIRTY DANCING because one of the critics on a NY independent
station loved it.; It's like real life and maybe, that's why
I liked it so much.; The Ayn Rand-trashing scene alone is worth the
price of evening admission.","As a movie, the cliche-ridden script by
Eleanor Bergstein is so bad that it almost becomes unintentionally
funny.; Based on the previews, you probably wouldn't go see DIRTY DANCING unless
you're either bored out of your skull or under 16.; The film's saving grace is that fully a third of the film has the
actors dancing rather than talking.; Easily, the worst part of the story is the self-imposed
second-class citizenship of the film's male lead.; Rhodes is as poor an actor as she is an incredibly
accomplished dancer."
89.0,Indiana Jones and the Last Crusade,2001.0,"It is lots of fun and often magical in its continuing
affectionate tribute to the serials of yesteryear.; Director: Steven Spielberg It is always refreshing to watch [again] summer movies from
previous years and compare them with current movie flicks.; Eventually, of course, the two men overcome their
estrangement to forge a relationship of warmth, tenderness, and mutual
respect.; Characterization is what makes Indiana Jones movies entertaining
and enjoyable.; The action is still
frightfully intense and surprising thanks to Steven Spielberg's assured and
strenuous direction.","The plot is also disappointing.; By contrast,
CRUSADE is too tame and fails to distinguish itself from imitators of the
series, such as ROMANCING THE STONE.; The film had a thin, brittle
edge that made the whole thing impersonal; it was as if Spielburg was so out of
breath doing his rollercoaster bit, that he never gave the audience the
opportunity to treat the characters as more than cardboard cut-outs.; The cast also includes Alison Doody as the requisite
love-interest, an Austrian art historian who has nothing in mind but her
own self-interests.; One disappointment is that they did a Nigel-
Bruce on Denholm Elliot's character (i.e., they turned a perfectly serious
and interesting character into a buffoon)."
95.0,Armageddon,2001.0,"But I laughed, too, at some very funny lines.; But I laughed, too, at some very funny lines.; It's also packed with a little more special effect fun
than a mere tidal wave sequence (As slick as that sequence was in the
earlier asteroid movie, it doesn't compare to all of the festivities in
this one.); So
even if you don't win one of McDonald's free tickets, it's still definitely
worth checking out.; And, I would definitely watch it
again.","Not even 
Bruce Willis can save this expensive, incoherent, derivative mess.; After all, doesn't bad
publicity generally mean bad movie?; I certainly don't care what their intentions
were, because Michael Bay (The Rock) is such a skilled director that I
doubt he'd ever make a film that is difficult to sit through.; However, on the downside, Armageddon is let down by being completely
ludicrous.; The previews were so annoying that I
predicted this was going to be the worst film of the year, or at least in
the running."
98.0,Gladiator,1996.0,"Perfect.; It's a very good (and very creepy) performance.; Music by Lisa Gerrard (from the group Dead Can Dance) and well-known 
Hollywood score master Hans Zimmer is smooth and haunting.; It's solid.; It's both rousing
and chilling.","* - One of the worst movies ever made.; * * - Pretty bad, see it only if you have nothing better to do.; It
represents the worst kind of Hollywood excess, great sums of money
thrown at something ultimately pointless.; There's an instance of this earlier in
the film too that's disappointing.; Last year, early May brought us `The
Mummy', easily the worst film to hit screens in 1999."
100.0,"Lock, Stock and Two Smoking Barrels",1997.0,"I enjoyed this film.; The twists and turns are well set up, yet unexpected and fun --
really fun.; A
moviegoing British public would probably identify it closely
with the 1970 film ""Get Carter"" starring Michael Caine in the
role of a small-time gangster investigating his brother' death,
a work by Mike Hodges that captures the seediness of the
petty rackets in England.; It's tight, tense, funand that's
that - lock, stock, barrel.; What eventuates from all this fun and confusion is very, very clever.","Neither plot nor characterization appears to be the selling
point of director Ritchie, who is eager to portray the milieu of
London's East End during his 36-day shoot, caricaturing the
neighborhood's bad-guy ambiance with Tim Maurice-Jones's
helter-skelter photography.; Every character in the film tries to be a character, succeeding only in
being a one-dimensional one, while women do not play a significant part
in this unoriginal film, as they are reduced to being go-go girls or
unnoticeable druggies.; Supplementing the cast are some particularly ugly
actors, apparently by the credits supplied by a special agency
dedicated to providing ugly actors.; ""Lock, Stock and Two Smoking Barrels"" would be a
prominent piece of low-budget filmmaking if had appeared a
decade or so ago, but by now the genre is so tired, the
glorification of violent criminals so prosaic, that it rates simply
as an also-ran.; The
script doesn't do much to differentiate the characters within the three
groups."
103.0,Taxi Driver,1999.0,"***  = Excellent show.; Some of the hairdos make look dated, but the message it tells
is as powerful and frightening today as it was in 1976.; His Travis Bickle has a lot in common with
most of the average viewers of today - many of us share his feelings of
isolation, loneliness and outrage towards crime, drugs, prostitution and
senseless street violence.; I certainly was pleased with the remastered sound since the show
had great movie music (Bernard Herrmann).; I think the picture as delivered is
brilliant.","*    = Poor show.; 0    = One of the worst films of this or any year.; Over twenty years ago screenwriter, Paul Schrader, was in a terrible state.; Even
the politicians, like Senator Palantine, are lost in post-Vietnam and
post-Watergate mess; his broad and senseless ""messages"" that cover the
lack of any serious program can't fool even such idiots like Travis.; Palantine, a stereotype
of an ambitious, platitude-spouting politician, is
the only weak character."
105.0,Back to the Future,1993.0,"What makes ""Back To The Future"" such a gem is its ability to take elements
of adventure, comedy, and sci-fi, mix them all together,and make for a
wonderfully entertaining movie.; Fox's
portrayal of a character with whom all ages can empathize is central to
the film's timeless and magical allure.; With
intelligent and funny dialog and a strong cast of then minor league
actors, the film amazes one on subsequent viewings almost as much as on
the first.; ""Back To The Future"" is one of the greatest modern films.; Fox is perfect as Marty McFly, the typical teenager who
skateboards, plays in a rock band, and has a girlfriend - your basic ""cool
guy.""","Even the label, Calvin Klein, on Marty's clothes becomes the heart of
an ongoing joke.; Afterall,
who would put someone else's name on his own clothes?; Watching Biff's abuse
of George is the visual equivalent of scraping fingers across a
blackboard.; The film opens in the home of a nerdish inventor, Doctor Emmett
Brown.; Four heavily
uniformed men come running out like an Indy pit crew."
106.0,Predator,1994.0,"There is plenty here for the people
who complain about Tie-fighters banking and spacecrafts making noise to pick
apart, but it LOOKS real, and that is the important part!; It treats the human characters like game animals, stalking them
down, taking them one by one, and taking care of each kill before going out
again.; The thing that impresses me most is that throughout PREDATOR, the humans
have a chance.; The plot implications of a nearly invisible creature stalking
the commandos are well-handled.; The alien's actions are believable, and consistent with the idea it is a
sportsman.","Characters that started out as one-dimensional Rambos are
barely developed to the point of being two-dimensional Rambos, and most of the
dialogue is so stiff and unnatural that the characters seem to be announcing
important information for the sake of the audience, rather then talking to one
another.; Without the cloaking concept this would be
a fairly low-grade action film.; It
is indestructible and omniscient until the last five minutes of the last reel,
when the hero finds some laughably easy way to destroy it.; Any reason to drop 5 or 6 heavily armed men miles from
civilization would have worked just as well, so little time is spent here,
only long enough to let us know who the good guys and the bad guys are, and
then one obligatory battle scene so Arnie can use his patented groan-inducing
corny combat banter.; Action films are pretty common, but the concept of
     the cloaking device coupled with decent special effects are a
     boon."
111.0,Scarface,1971.0,"In the end, SCARFACE is a very powerful film
that hits home hard.; This isn't as meaty a role for Pfieffer as
Sharon Stone's was in CASINO, but its an effective one nonetheless and
she aquits herself well.; SCARFACE, although incredibly violent, is one of the best crime films of
its time and stands out as another great performance for Al Pacino.; Coppola gives his crime sagas an operatic sweep,
whereas in SCARFACE De Palma opts for a grittier feel.; Tony also begins to
fall in love with Elvira (Michelle Pfeiffer), who at the time was Frank's
lover.","It's just not right, and
unfortunately compromises the impact of some otherwise good scenes.; The only major botch is Giorgio
Moroder's mostly crap synthesier score.; Another element that stands out when someone mentions this film is the
profanity.; Scarface is a movie that is absolutly desperate
for somebody's attention, and that is why you should
not give it yours!; ""Never do your own stash"", warns one
character early in the film."
134.0,"O Brother, Where Art Thou?",1997.0,"The other two scoundrels also
follow suit with top-notch performances of their own offbeat personalities
as do the rest of the cast, with plenty of fun and engaging moments of their
own.; It is a wonderful moment 
of moviemaking and gives us, in my mind, the best movie song of the year.; And despite this
film being a little slow at times, a little too long for its own good and a
little weak in the ""romance"" end of the story, it still managed to keep me
entertained for most its outing with plenty of peppered one-liners, a great
chemistry between the three leads, catchy tunes and a rock-solid performance
by George Clooney.; The sirens, the fame,
the power of Babyface are all brilliantly presented as part of a
supremely entertaining road movie.; A strong B+.","""It's dull!""; Not funny?; Other cast members mostly
go through the motions.; * * - Pretty bad, see it at your own risk.; The Coens refuse to invest any humanity in these 
characters so that every single situation, every actor, every line is 
reinforced with a robotic mentality that produces no chemistry, no interest 
and no imagination."
165.0,Back to the Future Part II,1995.0,"No real plot shocks or surprises   There's a sense of rushed
urgency in this film that was absent in the first BACK TO THE FUTURE film, and
this gives the film an edge (or at least becomes reminiscent enough of IT'S A
WONDERFUL LIFE to simulate one); however, what it adds in suspense, in takes
away from the one enjoyable friendship in the first film, the one between Doc
Brown and Marty.; ""Back To The Future Part II"" is a really great adventure movie.; The
cleverness and time-related in-jokes are pretty good, and the time-travel theme
holds together if you don't think about it *too* closely.; At the end
of the situation Marty has changed the course of history for the better, and
it seems like everything's copasetic right?; And I liked the car.","Fox seems to be trying to beat Cary Grant's record of
double-takes in ARSENIC AND OLD LACE, and while he's adequate, he's no Archie
Leech.; Doc seems to be in the picture merely to hustle Marty from
time-period to time-period, and (except for one pleasant sequence where Brown
bumps into himself), gets to show very little personality; his main
contributions to the film are the better historical jokes.; Depends how well you liked the original BACK TO
THE FUTURE PART II is more of the same; the good news, in these sequel-riddled
days, is it's not worse than the same.; ***1/2 (out of 4 = very good)
1989, PG, 108 minutes [1 hour, 48 minutes]
[adventure/sci-fi]
starring: Michael J.; Wrong."
169.0,Predator 2,1999.0,"Armed with a strong sense of personal responsibility and love of
comrades, one member of Species B alone triumphs.; And
yet...  the moral is a good one.; Please direct comments/criticisms of the review to relevant newsgroups.","Bambi meets Godzilla.; The crazy thing is, we are supposed to believe that Species B wins!; It should make a short movie.; Impossible.; The formatting of the review is likely to differ from the original due
to ASCII to HTML conversion."
172.0,Star Trek V: The Final Frontier,1993.0,"You cannot
trust your feelings, however powerful they are.; I saw STAR TREK II: The Wrath of Khan the other
night on the tube, and while that's arguably the best of the series, it shows
how a good script can add to a character without giving them a lot of screen
time.; His plan , though convoluted, is perfectly logical.; The bar in
Paradise City, for example, immediately brings to mind the Catina Bar in
STAR WARS.; Anyone notice the Imperial motif that Kirk carries around him?","Shatner's hackneyed story and heavy-handed direction make the film far too
self-serious and pretentious.; They are so crude and one-dimensional that
they fail to make credible adversaries.; As a
story, it's lackluster -- below average by even the STAR TREK: THE NEXT
GENERATION series quality average.; Certainly some of this might be laid at the door of aging
actors, but the vast majority seem to be due to an over-all attempt to inject
humor into the story at every point.; There are a lot of silly and even stupid scenes."
174.0,Star Trek VI: The Undiscovered Country,2000.0,"I do, however, highly recommend this enjoyable and intriguing film.; The acting is superb throughout; this is
probably Shatner's best and most believable performance ever, and
although they may be getting a bit old, the rest of the crew's
performances are fresh and lively.; But
despite the hidden message and likeness to today's goings-on, this movie
is still a romp through space, where we meet and see all kinds of races
and places.; Anyone who
goes to see this movie can quite easily recognize which character
represents who in today's world.; But don't let that phase you--it's still a good movie.","Lack of adherence to IDIC (speciesist/ethnocentric).; Pretty predictable.; That one was
solved by the scriptwriter saying, ""Oh, didn't you know?; The solution
to the puzzle here is not as bad as that of the WRATH OF KHAN problem, but
it is bad.; He has one brief, no-talent-needed
scene."
184.0,Jackie Brown,1992.0,"Perfect.; Forster gives a
beautifully modulated performance of understated humor and panache; it is one
of his best character roles since ""Medium Cool.""; She's amazing.; The relationship between Max and Jackie is
especially well-done, and surprisingly moving towards the end.; Of course, nothing in the film screams 1970s more than the casting of
   Pam Grier and Robert Forster as the two leads, and although the caper
   intrigue is fun to watch as the plot twists, backstabbing, and
   deceptions deliciously unfold, the strength of JACKIE BROWN is the
   quiet, understated relationship developed between Jackie and Max;
   when they kiss, it's perhaps the most tender scene of the year.","All of this notwithstanding, JACKIE BROWN isn't a bad film or an
uninteresting one; it's just a disappointing movie.; His co-partner in crime, the always
reliable Robert De Niro, is unfortunately miscast as a rather lifeless,
boring sidekick, a role which should perhaps have gone to someone
equally lifeless and boring.; Unfortunately, De Niro is basically
wasted as his lines are few and far between, and then they are mostly
clipped sentences.; Why do people go to 
spend big bucks on a movie, and then bolt from the theater like they have 
something better to be doing?; I've heard some people say this film is boring; others talk about
the fact that it centers around immorality and that none of the
characters have any redeeming qualities."
196.0,Back to the Future Part III,1996.0,"Don't miss it, it's great fun.; I really liked this movie.; Rating:
     The movie's light, moderately fast-paced, and very enjoyable.; The ending is certainly corny, but fun.; Almost as much as I liked part one.","Worse yet, the movie doesn't seem to care if its story line is
consistent with the first two films.; But unfortunately, director Robert Zemeckis and
screenwriter Bob Gale somehow got sidetracked with the idea of making a
Western.; Gallons of slobber
dripping off of Mad Dog's chin in the first meeting with Marty must've
been left on the cutting room floor, so Mad Dog's name really didn't
make sense.; The plot is merely a sequence of ho-hum cliches, from the big
showdown to a train hijacking.; *** (out of 4 = good)
1990, PG, 120 minutes [2 hours]
[adventure/western/sci-fi]
starring: Michael J."
226.0,Boys Don't Cry,1995.0,"That damn documentary kept me up till 4:00 am, but it was well worth it.; Peirce draws uniformly
strong performances from her ensemble cast, comprising some of the
finest young actors working in the American independent film scene.; Hilary Swank brilliantly brings Teena back to life on the big screen, she is 
an amazing actress that in my opinion gives the best performance I have ever 
seen.; Sevigny's performance here is even better than her recent portrayal in
""American Beauty.""; It is simple in all its ROMEO AND JULIET tragic
romanticism, but complex because of the one major addition.","Director Kimberly Peirce has a toddler run
screaming through the worst of the mayhem, just to make sure we are
completely disgusted with the level of unspeakable violence before us.; Stripped of Brad Pittâs movie star
appeal, fighting in barrooms and stealing cars begins to look depressingly
low-rent.; It 'twas the night
before finals, a night filled with the worst kind of pre-performance anxiety
(well, maybe the second worse kind), but I was covered; I had studied with such
abandon (into the wee hours of morning) that my head was overflowing with
useless crap I would surely forget by the next week.; For better or for worse, depending on the viewer, Boys Don't Cry does
not spare us the details.; The long first part of the movie has nothing of interest, save watching
how Brandon copes with being a female in men's clothes."
268.0,Batman,1995.0,"The thing that makes this great is the wonderful black humor and 
intriguing action sequences.; It is a perfect entertainment.; He perfectly balances the film noir qualities with 
the humor.; Today.; Overall, this is probably the best superhero film ever made.","Query #3: It's just barely explained that the Joker is trying to make people
believe that his white-face is makeup -- why is this?; Unfortunately, it seemed to work much better as a series of clips.; BATMAN tries to walk a thin line between action and character psychology,
but it fails to give us enough of either one.; Prince is awful, as are these songs, and they just don't gel with the look
and feel of the film.; Commissioner Gordon and Harvey Dent are given scant attention, which would
have been okay if the filmmakers hadn't tried to fill the space with two
unsatisfying new characters: some newspaper reporter who's name I can't even
remember and, of course, Kim Basinger as photojournalist Vicki Vale."
